Cicle,Points,Holesfactors,Linesfactor,Heigthfactor
0,1284.0,1.0,0.8264462809917354,1.0
1,1380.0,1.0,0.9090909090909091,1.0
2,1380.0,1.0,0.9090909090909091,1.0
3,1380.0,1.0,0.9090909090909091,1.0
4,1380.0,1.0,0.9090909090909091,1.0
5,1380.0,1.0,0.9090909090909091,1.0
6,1380.0,1.0,0.9090909090909091,1.0
7,1380.0,1.0,0.9090909090909091,1.0
8,1380.0,1.0,0.9090909090909091,1.0
9,1380.0,1.0,0.9090909090909091,1.0
10,1380.0,1.0,0.9090909090909091,1.0
11,1380.0,1.0,0.9090909090909091,1.0
12,1380.0,1.0,0.9090909090909091,1.0
13,1380.0,1.0,0.9090909090909091,1.0
14,1380.0,1.0,0.9090909090909091,1.0
15,1380.0,1.0,0.9090909090909091,1.0
16,1380.0,1.0,0.9090909090909091,1.0
17,1380.0,1.0,0.9090909090909091,1.0
18,1380.0,1.0,0.9090909090909091,1.0
19,1380.0,1.0,0.9090909090909091,1.0
20,1380.0,1.0,0.9090909090909091,1.0
21,1380.0,1.0,0.9090909090909091,1.0
22,1380.0,1.0,0.9090909090909091,1.0
23,1380.0,1.0,0.9090909090909091,1.0
24,1380.0,1.0,0.9090909090909091,1.0
25,1380.0,1.0,0.9090909090909091,1.0
26,1380.0,1.0,0.9090909090909091,1.0
27,1380.0,1.0,0.9090909090909091,1.0
28,1380.0,1.0,0.9090909090909091,1.0
29,1380.0,1.0,0.9090909090909091,1.0
30,1380.0,1.0,0.9090909090909091,1.0
31,1380.0,1.0,0.9090909090909091,1.0
32,1380.0,1.0,0.9090909090909091,1.0
33,1380.0,1.0,0.9090909090909091,1.0
34,1380.0,1.0,0.9090909090909091,1.0
35,1380.0,1.0,0.9090909090909091,1.0
36,1380.0,1.0,0.9090909090909091,1.0
37,1380.0,1.0,0.9090909090909091,1.0
38,1380.0,1.0,0.9090909090909091,1.0
39,1380.0,1.0,0.9090909090909091,1.0
40,1380.0,1.0,0.9090909090909091,1.0
41,1380.0,1.0,0.9090909090909091,1.0
42,1380.0,1.0,0.9090909090909091,1.0
43,1380.0,1.0,0.9090909090909091,1.0
44,1380.0,1.0,0.9090909090909091,1.0
45,1380.0,1.0,0.9090909090909091,1.0
46,1380.0,1.0,0.9090909090909091,1.0
47,1380.0,1.0,0.9090909090909091,1.0
48,1380.0,1.0,0.9090909090909091,1.0
49,1380.0,1.0,0.9090909090909091,1.0
50,1380.0,1.0,0.9090909090909091,1.0
51,1380.0,1.0,0.9090909090909091,1.0
52,1380.0,1.0,0.9090909090909091,1.0
53,1380.0,1.0,0.9090909090909091,1.0
54,1380.0,1.0,0.9090909090909091,1.0
55,1380.0,1.0,0.9090909090909091,1.0
56,1380.0,1.0,0.9090909090909091,1.0
57,1380.0,1.0,0.9090909090909091,1.0
58,1380.0,1.0,0.9090909090909091,1.0
59,1380.0,1.0,0.9090909090909091,1.0
60,1380.0,1.0,0.9090909090909091,1.0
61,1380.0,1.0,0.9090909090909091,1.0
62,1380.0,1.0,0.9090909090909091,1.0
63,1380.0,1.0,0.9090909090909091,1.0
64,1380.0,1.0,0.9090909090909091,1.0
65,1380.0,1.0,0.9090909090909091,1.0
66,1380.0,1.0,0.9090909090909091,1.0
67,1380.0,1.0,0.9090909090909091,1.0
68,1380.0,1.0,0.9090909090909091,1.0
69,1380.0,1.0,0.9090909090909091,1.0
70,1380.0,1.0,0.9090909090909091,1.0
71,1380.0,1.0,0.9090909090909091,1.0
72,1380.0,1.0,0.9090909090909091,1.0
73,1380.0,1.0,0.9090909090909091,1.0
74,1380.0,1.0,0.9090909090909091,1.0
75,1380.0,1.0,0.9090909090909091,1.0
76,1380.0,1.0,0.9090909090909091,1.0
77,1380.0,1.0,0.9090909090909091,1.0
78,1380.0,1.0,0.9090909090909091,1.0
79,1380.0,1.0,0.9090909090909091,1.0
80,1380.0,1.0,0.9090909090909091,1.0
81,1380.0,1.0,0.9090909090909091,1.0
82,1380.0,1.0,0.9090909090909091,1.0
83,1380.0,1.0,0.9090909090909091,1.0
84,1380.0,1.0,0.9090909090909091,1.0
85,1380.0,1.0,0.9090909090909091,1.0
86,1380.0,1.0,0.9090909090909091,1.0
87,1380.0,1.0,0.9090909090909091,1.0
88,1380.0,1.0,0.9090909090909091,1.0
89,1380.0,1.0,0.9090909090909091,1.0
90,1380.0,1.0,0.9090909090909091,1.0
91,1380.0,1.0,0.9090909090909091,1.0
92,1380.0,1.0,0.9090909090909091,1.0
93,1380.0,1.0,0.9090909090909091,1.0
94,1380.0,1.0,0.9090909090909091,1.0
95,1380.0,1.0,0.9090909090909091,1.0
96,1380.0,1.0,0.9090909090909091,1.0
97,1380.0,1.0,0.9090909090909091,1.0
98,1380.0,1.0,0.9090909090909091,1.0
99,1380.0,1.0,0.9090909090909091,1.0
